price_eur,advisor_cost_per_hr,hours_per_case,cost_to_serve_eur,gross_margin_eur,gross_margin_pct
299.0,40.0,3.0,140.0,159.0,53.2
299.0,60.0,3.0,200.0,99.0,33.1
299.0,90.0,3.0,290.0,9.0,3.0
299.0,40.0,5.0,220.0,79.0,26.4
299.0,60.0,5.0,320.0,-21.0,-7.0
299.0,90.0,5.0,470.0,-171.0,-57.2
299.0,40.0,8.0,340.0,-41.0,-13.7
299.0,60.0,8.0,500.0,-201.0,-67.2
299.0,90.0,8.0,740.0,-441.0,-147.5
349.0,40.0,3.0,140.0,209.0,59.9
349.0,60.0,3.0,200.0,149.0,42.7
349.0,90.0,3.0,290.0,59.0,16.9
349.0,40.0,5.0,220.0,129.0,37.0
349.0,60.0,5.0,320.0,29.0,8.3
349.0,90.0,5.0,470.0,-121.0,-34.7
349.0,40.0,8.0,340.0,9.0,2.6
349.0,60.0,8.0,500.0,-151.0,-43.3
349.0,90.0,8.0,740.0,-391.0,-112.0
399.0,40.0,3.0,140.0,259.0,64.9
399.0,60.0,3.0,200.0,199.0,49.9
399.0,90.0,3.0,290.0,109.0,27.3
399.0,40.0,5.0,220.0,179.0,44.9
399.0,60.0,5.0,320.0,79.0,19.8
399.0,90.0,5.0,470.0,-71.0,-17.8
399.0,40.0,8.0,340.0,59.0,14.8
399.0,60.0,8.0,500.0,-101.0,-25.3
399.0,90.0,8.0,740.0,-341.0,-85.5
449.0,40.0,3.0,140.0,309.0,68.8
449.0,60.0,3.0,200.0,249.0,55.5
449.0,90.0,3.0,290.0,159.0,35.4
449.0,40.0,5.0,220.0,229.0,51.0
449.0,60.0,5.0,320.0,129.0,28.7
449.0,90.0,5.0,470.0,-21.0,-4.7
449.0,40.0,8.0,340.0,109.0,24.3
449.0,60.0,8.0,500.0,-51.0,-11.4
449.0,90.0,8.0,740.0,-291.0,-64.8
